atl,Atlanta Gold Club
bal,Baltimore Crabs
bos,Boston Massacre
chi,Chicago Owls
cin,Cincinnati Riots
cle,Cleveland Curses
dal,Dallas Snipers
hi,Hawaii High
det,Detroit Thunderbirds
hou,Houston Apollos
kc,Kansas City Mafia
lv,Las Vegas Blue Chips
la,Los Angeles Lowriders
mxc,Mexico City Aztecs
mia,Miami Cyclones
min,Minneapolis Blizzard
mon,Montreal Mounties
nyc,New York Bankers
phi,Philadelphia Liberty
phx,Phoenix Vultures
pit,Pittsburgh Yellow Jackets
por,Portland Roses
sf,San Francisco Gold Rush
san,San Antonio Churros
sd,San Diego Pandas
den,Denver Goats
sea,Seattle Symphony
stl,St. Louis Spirits
tpa,Tampa Turtles
tor,Toronto Beavers
van,Vancouver Whalers
was,Washington Monuments
